Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,6.46,0,0.0,371.27,40.31,0,0.0,345.25,82.96,0,0.0,372.98,44.92,0,0.0,339.65
August,1,0:30,4.87,0,0.0,357.06,30.29,0,0.0,318.06,56.22,0,0.0,335.09,31.59,0,0.0,306.32
August,1,1:00,3.49,0,0.0,330.26,13.27,0,0.0,465.68,43.28,0,0.0,343.3,22.71,0,0.0,382.4
August,1,1:30,3.48,0,0.0,353.76,8.14,0,0.0,281.19,29.8,0,0.0,316.97,17.49,0,0.0,319.1
August,1,2:00,2.24,0,0.0,241.13,6.14,0,0.0,419.73,19.31,0,0.0,343.31,12.12,0,0.0,343.79
August,1,2:30,1.53,0,0.0,396.23,4.43,0,0.0,477.15,21.19,0,0.0,347.16,9.59,0,0.0,312.05
August,1,3:00,1.97,0,0.0,239.25,4.83,0,0.0,334.71,12.89,0,0.0,383.21,3.0,0,0.0,426.19
August,1,3:30,1.93,0,0.0,229.66,3.43,0,0.0,465.94,15.03,0,0.0,430.03,0.95,0,0.0,276.18
August,1,4:00,1.66,0,0.0,362.08,3.3,0,0.0,347.73,13.61,0,0.0,301.74,0.89,0,0.0,389.23
August,1,4:30,1.62,0,0.0,363.26,4.51,0,0.0,219.55,14.22,0,0.0,364.18,0.77,0,0.0,449.14
August,1,5:00,1.77,0,0.0,271.01,3.96,0,0.0,310.22,18.48,0,0.0,321.36,0.7,0,0.0,408.91
August,1,5:30,2.13,0,0.0,242.01,4.99,0,0.0,324.61,20.1,0,0.0,350.27,1.13,0,0.0,280.02
August,1,6:00,2.91,0,0.0,292.55,6.78,0,0.0,334.61,37.82,0,0.0,291.3,11.69,0,0.0,261.91
August,1,6:30,4.59,0,0.0,319.65,8.31,0,0.0,391.68,59.91,0,0.0,278.17,26.86,0,0.0,263.83
August,1,7:00,11.34,2,0.2118,327.95,39.72,1,0.0285,274.24,101.81,3,0.0271,282.03,47.26,2,0.035,263.63
August,1,7:30,17.51,3,0.1581,364.79,57.12,3,0.0457,319.12,166.22,6,0.0349,281.41,77.49,3,0.0334,290.43
August,1,8:00,52.46,1,0.0178,286.9,122.87,1,0.0094,307.14,312.39,6,0.0196,297.91,146.14,4,0.0268,277.82
August,1,8:30,90.89,1,0.0155,303.81,159.45,3,0.0166,339.44,447.89,9,0.0194,322.3,203.0,9,0.0425,295.96
August,1,9:00,133.73,2,0.0161,316.63,245.3,3,0.0136,346.96,642.51,12,0.0183,327.77,282.29,7,0.0238,295.34
August,1,9:30,170.25,3,0.0161,326.77,299.87,4,0.0133,358.23,805.72,23,0.0291,324.48,353.28,15,0.0421,311.91
August,1,10:00,185.47,3,0.0156,332.05,377.35,5,0.0134,361.85,913.69,33,0.036,344.63,421.68,13,0.0313,308.68
August,1,10:30,232.63,4,0.0167,334.56,422.05,10,0.0237,363.32,1015.13,51,0.0501,349.27,454.03,20,0.0431,322.96
August,1,11:00,247.27,3,0.0129,331.38,463.85,8,0.018,366.67,1074.95,31,0.0293,356.91,482.38,18,0.0383,325.17
August,1,11:30,251.61,3,0.0133,336.2,508.41,15,0.0293,384.26,1131.32,32,0.028,354.14,520.01,19,0.0365,326.46
August,1,12:00,264.93,5,0.0182,322.18,570.47,11,0.0199,374.28,1138.93,54,0.0471,357.81,521.96,19,0.0373,320.22
August,1,12:30,260.79,5,0.0177,335.29,565.11,12,0.021,380.89,1151.84,46,0.04,361.74,538.52,15,0.0283,334.69
August,1,13:00,256.95,5,0.0193,347.6,581.07,9,0.0161,371.47,1126.53,35,0.0312,368.77,528.76,18,0.0332,330.43
August,1,13:30,263.14,4,0.0139,340.05,588.36,11,0.0186,370.65,1130.0,41,0.036,369.24,546.44,19,0.0355,332.69
August,1,14:00,259.03,4,0.0143,332.99,622.27,12,0.02,383.38,1160.18,34,0.0291,368.31,561.27,21,0.0373,330.36
